VD,PARTICIPANTE,SEXO.GENERO,IDADE,FAIXA.ETARIA,ESCOLARIDADE,REGIAO,INDICE.SOCIO,ORIGEM.PAIS,CONT.FON.PREC,CONT.FON.SEG,TONICIDADE,POSICAO.R,CLASSE.MORFOLOGICA,FREQUENCIA,ESTILO,ITEM.LEXICAL,cont.precedente,ocorrencia,cont.seguinte
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,v,atona,medial,substantivo,0.44,conversacao,serviço, de... trabalhar <A> num , serviço <T> , e mostrar <A> o 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,s,tonica,medial,substantivo,0.48,conversacao,curso, é na escola... tem , curso <R> , [18.54] de férias D1: 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, então isso foi uma , parte <T> , super <V> [9.13] legal 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,d,atona,medial,verbo,0.11,conversacao,perdeu, [12.53] que ela só , perdeu <R> , mesmo acho que por 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,dz,tonica,medial,adjetivo,0.38,conversacao,tarde, [21.21] porque <A> mais , tarde <R> , ele que vai sofrer 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,#,tonica,final,substantivo,1.94,conversacao,lugar, maloqueiro como qualquer <A> , lugar... <R> , em bairro classe média... 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,o,t,atona,medial,substantivo,0.24,conversacao,portão, a chutar <A> o , portão <R> , do vizinho foi que 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,3,n,tonica,medial,substantivo,0.07,conversacao,caderno, escola eu vejo o , caderno <R> , dele todo dia se 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,#,tonica,final,adjetivo,0.93,conversacao,melhor, <A> pra uma escola , melhor... <R> , que escola de bairro 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,d,tonica,medial,substantivo,0.2,conversacao,absurdo, grau”... então acho um , absurdo <R> , ... esse tipo de 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,0,ts,tonica,medial,substantivo,0.36,conversacao,transporte, S1: que mudasse no , transporte <R> , ?... eu acho que 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,t,tonica,medial,adjetivo,0.15,conversacao,quarta, depois de primeira a , quarta <R> , série vai pra outra 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,t,tonica,final,substantivo,1.94,conversacao,lugar, <A> não... maloqueirinho todo , lugar <R> , tem D1: uhum S1: 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,e,m,atona,medial,adjetivo,0.04,conversacao,vermelha, tirar <A> cinco nota(s) , vermelha <T> , (s) e a educação 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,o,t,atona,medial,substantivo,0.31,conversacao,oportunidade, tinha que dar <A> , oportunidade <T> , pra quem... não tem 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,l,atona,medial,conj.prep,3.25,conversacao,por, me firmei <V> [26.36] , por <T> , lá hoje em dia 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, fiz sempre a mais , porque <R> , eu sempre gostei de 
tepe,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, ter <A> mais opções... , porque <T> , o ônibus que eu 
retroflexo,IvanaB,feminino,30,1a,fundamental,periferica,2,mista,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, um escola entendeu? nessas , parte <R> , (s) mas sobre segurança 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,n,tonica,final,substantivo,0.9,conversacao,governo, muito de ônibus... o , governo <R> , da Marta <R> até 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, (xxx) minha vida... S1: , porque <T> , antigamente você é... aprendia 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,n,tonica,medial,substantivo,0.9,conversacao,governo, bastante obra né no , governo <R> , dele... D1: uhum... S1: 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,d,atona,medial,substantivo,0.01,conversacao,bordado, pros meninos... S1: era , bordado <T> , essas coisa... D1: coisas 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,3,t,tonica,medial,adjetivo,0.03,conversacao,deserto, como aqui é muito , deserto <T> , né? pegavam as menina 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, ficar <A> quieta né? , porque <T> , eu não quis porque 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,t,atona,medial,adjetivo,0.12,conversacao,portuguesa, na escola? S1: língua , portuguesa <T> , ... na época não... 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, sai com o carro , porque <T> , ... demora muito D1: 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,d,atona,medial,substantivo,0.43,conversacao,nordestino, ontem que era o , nordestino <T> , né? [risos] D1: [risos] 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,n,tonica,final,substantivo,0.42,conversacao,professor, tudo começa com o , professor <R> , né? D1: e como 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,3.25,conversacao,por, eles falam “(es)to(u) aqui , por <T> , quê?” né? “só pra 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, S1: não não... não , porque <T> , eu D1: criticar? S1: 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,0.07,conversacao,porquê, sei te explicar <A> , porquê <T> , mas... “nós” D1: porque 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,p,atona,medial,conj.prep,3.25,conversacao,por, são... de onde? S1: , por <T> , parte <T> da minha 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,s,atona,medial,substantivo,0.01,conversacao,versões, então você escuta várias , versões <T> , do candidato... então você 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,d,atona,medial,conj.prep,3.25,conversacao,por, mãe são italianos... e , por <T> , do parte <T> do 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,t,atona,medial,substantivo,0.1,conversacao,portugueses, <T> do meu pai , portugueses <T> , D1: aah... eles vieram 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, mais seria bom né? , porque <T> , ... tudo começa com 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,d,atona,medial,verbo,0.02,conversacao,bordar, que não gosta de , bordar <T> , <A> de costurar <A> 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,t,atona,medial,substantivo,0.54,conversacao,certeza, S1: ah sim com , certeza <R> , ! muito boa... nossa! 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,0,m,tonica,medial,substantivo,0.37,conversacao,forma, acho que dessa segunda... , forma <T> , aí é bem mais 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,t,atona,medial,substantivo,0.02,conversacao,portaria, que ser <A> nas , portaria <T> , (s)... onde sai a 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, D1: ah é? S1: , porque <T> , ... as freiras já 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,a,ts,atona,medial,adjetivo,0.52,conversacao,particular, S1: não não é , particular <T> , <R> não A.! [risos] 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, e por <T> do , parte <T> , do meu pai portugueses 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,3.25,conversacao,por, (xxx) S1: então mas , por <T> , que que eles fazem 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, <T> eu não quis , porque <T> , foi opção minha né? 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, não tem um... S1: , porque <T> , antigamente eles davam uns 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, por que não? S1: , porque <T> , não... nunca me passou 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,d,atona,medial,substantivo,0.82,conversacao,verdade, né? S1: é é , verdade <R> , ... é D1: porque 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,o,m,atona,medial,adjetivo,0.51,conversacao,normal, eu acho que era , normal <T> , como é hoje... só 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,g,atona,medial,verbo,0.22,conversacao,perguntar, tem vergonha <R> de , perguntar <R> , <A> ... porque <A> 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,#,atona,final,conj.prep,3.25,conversacao,por, tem que ir <A> , por... <R> , pela sua intuição né? 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,0,n,tonica,final,adjetivo,0.93,conversacao,melhor, acho que “nós” é , melhor <R> , não é? D1: então... 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,a,d,tonica,medial,substantivo,0.11,conversacao,guarda, não tem perigo os , guarda <R> , lá não andam nem 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, falar S1: é S1: , porque <T> , tipo eles acham que 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,0,m,tonica,medial,substantivo,0.37,conversacao,forma, pra outra de outra , forma <R> , ... sabe? então... ou 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,n,atona,medial,verbo,0.02,conversacao,governar, muito entende? assim pra , governar <R> , <A> ... D1: sim... 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,3,m,tonica,final,adjetivo,0.04,conversacao,qualquer, que passar <A> de , qualquer <R> , maneira... então as crianças 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,e,g,atona,medial,verbo,0.22,conversacao,perguntar, tímidas não gosta de , perguntar <R> , <A> ... se não 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,a,t,atona,medial,substantivo,0.02,conversacao,cartãozinho, sim... S1: recebia um , cartãozinho <T> , ... e na hora 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, senhora mora? S1: não , porque <T> , ... eu sou de 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,m,atona,medial,conj.prep,3.25,conversacao,por, a professora... não é , por <T> , medo tem que respeitar 
retroflexo,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,a,d,tonica,medial,substantivo,0.11,conversacao,Guarda, estudei no Anjo da , Guarda <R> , que era ali na 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,3.25,conversacao,por, eu não sei viu , por <T> , quê... eu não sei 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,g,atona,medial,conj.prep,3.25,conversacao,por, por gostar? S1: gosto , por <T> , gostar <A> D1: ouviu 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,o,d,tonica,final,substantivo,0.95,conversacao,governador, Barros era o governador , <V> <R> , da cidade de São 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,i,k,atona,medial,verbo,0.02,conversacao,circulando, viaturas né na rua... , circulando <T> , mais... D1: a senhora... 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, não fique sabendo né? , porque <T> , acho que deve existir 
tepe,HeloisaS,feminino,68,3a,fundamental,periferica,2.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, então a senhora... S1: , porque <T> , a gente achava que 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,d,tonica,medial,substantivo,0.05,conversacao,guardas, <A> que eles são , guardas <T> , aqui tem que fazer 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,d,atona,medial,substantivo,0.01,conversacao,nordes, que ele... S1: se , nordes <T> , / seu avô também 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,u,k,atona,medial,conj.prep,3.25,conversacao,por, viu (vo)cê sabe ?1... , por <T> , quê? negócio de televisão 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,m,tonica,final,adjetivo,0.52,conversacao,particular, é guarda <T> particular , <T> <T> , mesmo que a prefeitura 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,g,atona,medial,substantivo,0.08,conversacao,perguntas, S1: você faz umas , perguntas <T> , difíceis... D1: mais marcante 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,s,tonica,medial,substantivo,0.01,conversacao,terças, só que tem as , terças <T> , quintas sextas e sábados... 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,d,tonica,medial,verbo,0.05,conversacao,acorda, horas... o seu avô , acorda <T> , muito cedo e ele 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,3,m,tonica,medial,substantivo,0.08,conversacao,Guilherme, aí... muito interessante o , Guilherme <T> , de Almeida é preciso 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,n,tonica,final,substantivo,1.94,conversacao,lugar, é um centro um , lugar <T> , no Leavré... Lesale eu 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,ts,tonica,medial,substantivo,0.05,conversacao,artes, <T> a seção de , artes <T> , dele é fabuloso... é 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,ts,tonica,medial,substantivo,0.36,conversacao,transporte, ah é uma coisa , transporte <T> , público... é assim... quando 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,ts,tonica,medial,substantivo,0.36,conversacao,transporte, eu não dependo de , transporte <T> , público eu ando só 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,t,atona,medial,verbo,0.02,conversacao,acertar, ... mas eu vou , acertar <T> , <A> sim tem pronúncia 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,l,tonica,medial,substantivo,0.01,conversacao,Merlin, é um médico mágico , Merlin <T> , mágico Merlin <T> D1: 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,ts,tonica,medial,substantivo,0.04,conversacao,partes, as notícias... são duas , partes <T> , o jornal <T> tem 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,t,atona,medial,substantivo,0.96,conversacao,português, sotaque brasileiro tem o , português <T> , também que é muito 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,ts,tonica,medial,substantivo,0.05,conversacao,artes, também é... chegada nas , artes <T> , e.. D1: eu sou.. 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,u,k,atona,medial,conj.prep,3.25,conversacao,por, falar <A> não sei , por <T> , que D1: é mesmo? 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,u,s,atona,medial,conj.prep,3.25,conversacao,por, é uma ganância né?... , por <T> , ser <T> ahn... patrocinado 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,n,tonica,final,substantivo,0.14,conversacao,bar, S. S1: é um , bar <T> , novo que tem em 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,n,atona,medial,substantivo,0.16,conversacao,jornal, Paulo mas é um , jornal <T> , muito bem organizado <T> 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,ts,tonica,medial,substantivo,0.09,conversacao,esporte, exemplo... vai fazer <A> , esporte <T> , no Pacaembu tem milhões 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,n,atona,medial,substantivo,0.16,conversacao,jornal, lá... eu comprava o , jornal <T> , o... eu comprava o 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,l,tonica,final,verbo,0.18,conversacao,for, muito bom quando (vo)cê , for <T> , lá é bom também 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,ts,tonica,medial,substantivo,0.02,conversacao,esportes, uma porção <T> de , esportes <T> , D1: é S1: (vo)cê 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,t,tonica,medial,substantivo,0.02,conversacao,quartas, por <T> semana às , quartas <T> , -feiras das quatro às 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,n,tonica,medial,substantivo,0.9,conversacao,governo, <T> ahn... patrocinado pelo , governo <T> , ... é caríssimo D1: 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,f,atona,medial,verbo,0.01,conversacao,transformou, a prefeitura de Paris , transformou <T> , ... num lugar <T> 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, sabe? D1: ah S1: , porque <T> , senão se você ficar 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,ts,tonica,medial,substantivo,0.11,conversacao,arte, que eu (es)tou fazendo , arte <T> , -terapia ela é professora 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,3,s,tonica,medial,substantivo,0.16,conversacao,comércio, em si é o , comércio <T> , é mais ou menos 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,j,tonica,medial,substantivo,0.02,conversacao,Jorge, não foi o... o... , Jorge <T> , de Andrade que escreveu 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,#,tonica,final,morf.inf,0.17,conversacao,ser, ganância né?... por <T> , ser... <T> , ahn... patrocinado pelo governo 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,d,atona,medial,substantivo,0.12,conversacao,nordestinos, também... mas tem esses , nordestinos <T> , também desculpe falar <A> 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,0,ts,tonica,medial,substantivo,0.36,conversacao,transporte, <T> público pessoas... o , transporte <T> , público melho/ melhoraria... eu 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,t,atona,medial,adjetivo,0.12,conversacao,portuguesa, muito complicado horrível língua , portuguesa <T> , ... a o... a 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,3,m,tonica,medial,substantivo,0.08,conversacao,Guilherme, muito bons... e o , Guilherme <T> , de Al/ voltando ao 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,#,tonica,final,substantivo,1.01,conversacao,interior, <T> né coisa de , interior <T> , D1: é S1: mas 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,g,tonica,medial,adjetivo,0.01,conversacao,largas, mais as avenidas mais , largas <T> , ... têm... um ponto 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,dz,atona,medial,substantivo,0.83,conversacao,jardim, S1: ela gosta de , jardim <T> , a M. viu D1: 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, que não teve sustentabilidade , porque <T> , ... não tinha um 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,m,atona,medial,adjetivo,0.03,conversacao,formado, porque <T> ele foi , formado <T> , ele é muito bom 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,u,s,atona,medial,conj.prep,3.25,conversacao,por, a Sala São Paulo... , por <T> , ser <T> é uma 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,i,m,atona,medial,substantivo,2.09,conversacao,irmã, tia T. a S. , irmã <T> , da M.E. D1: ah 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,dz,atona,medial,substantivo,0.83,conversacao,jardim, casa dela... até o , jardim <T> , botânico passear <A> ... 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,e,t,tonica,medial,substantivo,0.03,conversacao,concerto, nada é tudo música , concerto <T> , D1: é S1: eles 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,o,t,atona,medial,substantivo,0.96,conversacao,português, eles não gostam de , português <T> , viu D1: é? S1: 
tepe,SergioP,masculino,62,3a,fundamental,central,3.1,SPcapital,a,d,tonica,medial,substantivo,0.11,conversacao,guarda, <T> ... privatizado sabe? , guarda <T> , especial lá dentro D1: 
